Element,Transition,Theoretical_eV,Experimental_eV
Cu,KM 3,8 906.9,8 905.413

Cu,KM 4,8 977.49,8 977.14

Cu,KM 5,8 977.82,8 977.14

Cu,KN 1,8 980.22,

Cu,K edge,8 987.96,8 980.476

Cu,L 1 M 1,975.0,

Cu,L 1 M 2,1 019.1,1 022.79

Cu,L 1 M 3,1 022.0,1 022.79

Cu,L 1 M 4,1 092.7,

Cu,L 1 M 5,1 093.0,

Cu,L 1 N 1,1 095.39,

Cu,L 1 edge,1 103.12,1 098.0

Cu,L 2 M 1,831.4,832.1

Cu,L 2 M 2,875.6,

Cu,L 2 M 3,878.5,

Cu,L 2 M 4,949.11,949.84

Cu,L 2 M 5,949.44,

Cu,L 2 N 1,951.84,

Cu,L 2 edge,959.58,952.68

Cu,L 3 M 1,811.7,811.08

Cu,L 3 M 2,855.8,

Cu,L 3 M 3,858.8,

Cu,L 3 M 4,929.38,929.68

Cu,L 3 M 5,929.71,929.68

Cu,L 3 N 1,932.11,

Cu,L 3 edge,939.85,933.04

Zn,KL 1,8 465.23,

Zn,KL 2,8 616.22,8 615.823

Zn,KL 3,8 639.10,8 638.906

Zn,KM 1,9 522.7,

Zn,KM 2,9 570.8,9 572.03

Zn,KM 3,9 573.6,9 572.03

Zn,KM 4,9 650.97,9 649.9

Zn,KM 5,9 651.31,9 649.9

Zn,KN 1,9 659.54,

Zn,KN 2,9 658.05,1

Zn,KN 3,9 658.05,1

Zn,K edge,9 668.55,9 660.755

Zn,L 1 M 1,1 057.5,

Zn,L 1 M 2,1 105.6,1 107.0

Zn,L 1 M 3,1 108.4,1 107.0

Zn,L 1 M 4,1 185.7,

Zn,L 1 M 5,1 186.1,

Zn,L 1 N 1,1 194.31,

Zn,L 1 edge,1 203.31,949.3

Zn,L 2 M 1,906.5,906.3

Zn,L 2 M 2,954.6,

Zn,L 2 M 3,957.4,

Zn,L 2 M 4,1 034.76,1 034.65

Zn,L 2 M 5,1 035.10,

Zn,L 2 N 1,1 043.33,

Zn,L 2 edge,1 052.33,1 045.21

Zn,L 3 M 1,883.6,884.3

Zn,L 3 M 2,931.7,

Zn,L 3 M 3,934.5,

Zn,L 3 M 4,1 011.87,1 011.77

Zn,L 3 M 5,1 012.21,1 011.77

Zn,L 3 N 1,1 020.44,

Zn,L 3 edge,1 029.45,1 022.03

Ga,KL 1,9 067.89,

Ga,KL 2,9 225.10,9 224.835

Ga,KL 3,9 251.89,9 251.674

Ga,KM 1,10 210.4,

Ga,KM 2,10 261.8,10 260.28

Ga,KM 3,10 265.8,10 264.19

Ga,KM 4,10 349.92,10 348.2

Ga,KM 5,10 350.49,10 348.2

Ga,KN 1,10 365.69,

Ga,KN 2,10 370.50,10 366.42

Ga,KN 3,10 366.42,1

Ga,K edge,10 377.76,10 368.1

Ga,L 1 M 1,1 142.5,

Ga,L 1 M 2,1 193.9,1 196.9

Ga,L 1 M 3,1 197.9,1 196.9

Ga,L 1 M 4,1 282.0,

Ga,L 1 M 5,1 282.6,

Ga,L 1 N 1,1 297.80,

Ga,L 1 N 2,1 302.61,

Ga,L 1 edge,1 309.87,1 302.7

Ga,L 2 M 1,985.3,984.22

Ga,L 2 M 2,1 036.7,

Ga,L 2 M 3,1 040.7,

Ga,L 2 M 4,1 124.82,1 124.76

Ga,L 2 M 5,1 125.39,

Ga,L 2 N 1,1 140.59,

Ga,L 2 N 2,1 145.40,

Ga,L 2 edge,1 152.66,1 145.02

Ga,L 3 M 1,958.5,957.17

Ga,L 3 M 2,1 009.9,

Ga,L 3 M 3,1 013.9,

Ga,L 3 M 4,1 098.03,1 097.97

Ga,L 3 M 5,1 098.59,1 097.97

Ga,L 3 N 1,1 113.79,

Ga,L 3 N 2,1 118.61,

Ga,L 3 edge,1 125.86,1 116.96

Ge,KL 1,9 692.08,

Ge,KL 2,9 855.67,9 855.42

Ge,KL 3,9 886.67,9 886.52

Ge,KM 1,10 924.0,

Ge,KM 2,10 979.4,10 978.1

Ge,KM 3,10 984.0,10 982.19

Ge,KM 4,11 074.59,11 074.8

Ge,KM 5,11 075.33,11 074.8

Ge,KN 1,11 098.72,

Ge,KN 2,11 105.84,11 100.97

Ge,KN 3,11 100.97,1

Ge,K edge,11 113.82,11 103.76

Ge,L 1 M 1,1 231.9,

Ge,L 1 M 2,1 287.3,1 286.12

Ge,L 1 M 3,1 292.0,1 294.04

Ge,L 1 M 4,1 382.5,

Ge,L 1 M 5,1 383.2,

Ge,L 1 N 1,1 406.6,

Ge,L 1 N 2,1 413.76,

Ge,L 1 edge,1 421.74,1 413.23

Ge,L 2 M 1,1 068.3,1 067.98

Ge,L 2 M 2,1 123.7,

Ge,L 2 M 3,1 128.4,

Ge,L 2 M 4,1 218.91,1 218.50

Ge,L 2 M 5,1 219.65,

Ge,L 2 N 1,1 243.05,

Ge,L 2 N 2,1 250.17,

Ge,L 2 edge,1 258.15,1 249.32

Ge,L 3 M 1,1 037.3,1 036.21

Ge,L 3 M 2,1 092.7,

Ge,L 3 M 3,1 097.4,

Ge,L 3 M 4,1 187.91,1 188.01

Ge,L 3 M 5,1 188.66,1 188.01

Ge,L 3 N 1,1 212.05,

Ge,L 3 N 2,1 219.17,

Ge,L 3 edge,1 227.15,1 217.06

As,KL 1,10 336.70,

As,KL 2,10 507.84,10 507.50

As,KL 3,10 543.48,10 543.2674

As,KM 1,11 663.0,

As,KM 2,11 721.6,11 719.86

As,KM 3,11 727.1,11 725.73

As,KM 4,11 825.05,11 821.4

As,KM 5,11 825.89,11 821.4

As,KN 1,11 858.67,

As,KN 2,11 867.94,11 864.34

As,KN 3,11 866.38,11 864.34

As,K edge,11 876.74,11 864.3

As,L 1 M 1,1 326.3,

As,L 1 M 2,1 384.9,1 388.54

As,L 1 M 3,1 390.4,1 388.54

As,L 1 M 4,1 488.3,

As,L 1 M 5,1 489.2,

As,L 1 N 1,1 522.0,

As,L 1 N 2,1 531.2,

As,L 1 N 3,1 529.68,

As,L 1 edge,1 540.04,1 529.32

As,L 2 M 1,1 155.2,1 155.04

As,L 2 M 2,1 213.8,

As,L 2 M 3,1 219.3,

As,L 2 M 4,1 317.21,1 316.99

As,L 2 M 5,1 318.06,

As,L 2 N 1,1 350.84,

As,L 2 N 2,1 360.10,

As,L 2 N 3,1 358.54,

As,L 2 edge,1 368.90,1 358.71

As,L 3 M 1,1 119.5,1 119.78

As,L 3 M 2,1 178.1,

As,L 3 M 3,1 183.7,

As,L 3 M 4,1 281.56,1 282.01

As,L 3 M 5,1 282.41,1 282.01

As,L 3 N 1,1 315.19,

As,L 3 N 2,1 324.46,

As,L 3 N 3,1 322.90,

As,L 3 edge,1 333.26,1 323.61

Se,KL 1,11 003.49,

Se,KL 2,11 181.82,11 181.53

Se,KL 3,11 222.55,11 222.52

Se,KM 1,12 427.9,

Se,KM 2,12 490.3,12 489.73

Se,KM 3,12 496.5,12 496.03

Se,KM 4,12 601.47,12 596.0

Se,KM 5,12 602.42,12 596.0

Se,KN 1,12 645.7,

Se,KN 2,12 656.38,12 652.29

Se,KN 3,12 655.11,12 652.29

Se,K edge,12 666.72,12 654.61

Se,L 1 M 1,1 424.4,

Se,L 1 M 2,1 486.8,1 490.0

Se,L 1 M 3,1 493.0,1 490.0

Se,L 1 M 4,1 598.0,

Se,L 1 M 5,1 598.9,

Se,L 1 N 1,1 642.2,

Se,L 1 N 2,1 652.9,

Se,L 1 N 3,1 651.62,

Se,L 1 edge,1 663.23,1 652.44

Se,L 2 M 1,1 246.0,1 244.55

Se,L 2 M 2,1 308.4,

Se,L 2 M 3,1 314.7,

Se,L 2 M 4,1 419.65,1 419.24

Se,L 2 M 5,1 420.60,

Se,L 2 N 1,1 463.9,

Se,L 2 N 2,1 474.55,

Se,L 2 N 3,1 473.29,

Se,L 2 edge,1 484.90,1 474.75

Se,L 3 M 1,1 205.3,1 204.41

Se,L 3 M 2,1 267.7,

Se,L 3 M 3,1 273.9,

Se,L 3 M 4,1 378.92,1 379.11

Se,L 3 M 5,1 379.88,1 379.11

Se,L 3 N 1,1 423.1,

Se,L 3 N 2,1 433.83,

Se,L 3 N 3,1 432.57,

Se,L 3 edge,1 444.18,1 433.98

Br,KL 1,11 692.04,

Br,KL 2,11 877.69,11 877.75

Br,KL 3,11 924.02,11 924.36

Br,KM 1,13 218.6,

Br,KM 2,13 284.8,13 284.7

Br,KM 3,13 292.1,13 291.56

Br,KM 4,13 403.97,13 396.3

Br,KM 5,13 405.04,13 396.3

Br,KN 1,13 459.8,

Br,KN 2,13 471.50,13 469.60

Br,KN 3,13 470.84,13 469.60

Br,K edge,13 483.86,13 470.5

Br,L 1 M 1,1 526.5,

Br,L 1 M 2,1 592.8,1 596.3

Br,L 1 M 3,1 600.0,1 596.3

Br,L 1 M 4,1 711.9,

Br,L 1 M 5,1 713.0,

Br,L 1 N 1,1 767.8,

Br,L 1 N 2,1 779.5,

Br,L 1 N 3,1 778.79,

Br,L 1 edge,1 791.81,1 781.6

Br,L 2 M 1,1 340.9,1 339.63

Br,L 2 M 2,1 407.2,

Br,L 2 M 3,1 414.4,

Br,L 2 M 4,1 526.28,1 525.92

Br,L 2 M 5,1 527.35,

Br,L 2 N 1,1 582.1,

Br,L 2 N 2,1 593.81,

Br,L 2 N 3,1 593.15,

Br,L 2 edge,1 606.17,1 599.2

Br,L 3 M 1,1 294.5,1 293.50

Br,L 3 M 2,1 360.8,

Br,L 3 M 3,1 368.1,

Br,L 3 M 4,1 479.95,1 480.46

Br,L 3 M 5,1 481.02,1 480.46

Br,L 3 N 1,1 535.8,

Br,L 3 N 2,1 547.49,

Br,L 3 N 3,1 546.82,

Br,L 3 edge,1 559.84,1 552.9

Kr,KL 1,12 402.57,

Kr,KL 2,12 595.58,12 595.424

Kr,KL 3,12 648.00,12 648.002

Kr,KM 1,14 034.9,

Kr,KM 2,14 105.7,14 104.96

Kr,KM 3,14 113.3,14 112.815

Kr,KM 4,14 232.63,14 237.7

Kr,KM 5,14 233.88,14 237.7

Kr,KN 1,14 301.2,

Kr,KN 2,14 313.43,14 315.0

Kr,KN 3,14 314.10,14 315.0

Kr,KN 4,14 328.2,1

Kr,KN 5,14 328.2,1

Kr,K edge,14 328.06,14 324.61

Kr,L 1 M 1,1 632.4,

Kr,L 1 M 2,1 703.1,1 697.5

Kr,L 1 M 3,1 710.7,1 706.8

Kr,L 1 M 4,1 830.1,

Kr,L 1 M 5,1 831.3,

Kr,L 1 N 1,1 898.7,

Kr,L 1 N 2,1 910.9,

Kr,L 1 N 3,1 911.5,

Kr,L 1 edge,1 925.49,1 916.3

Kr,L 2 M 1,1 439.4,

Kr,L 2 M 2,1 510.1,

Kr,L 2 M 3,1 517.7,

Kr,L 2 M 4,1 637.05,1 636.876

Kr,L 2 M 5,1 638.30,

Kr,L 2 N 1,1 705.7,1 703.3

Kr,L 2 N 2,1 717.86,

Kr,L 2 N 3,1 718.52,

Kr,L 2 edge,1 732.49,1 729.66

Kr,L 3 M 1,1 386.9,

Kr,L 3 M 2,1 457.7,

Kr,L 3 M 3,1 465.3,

Kr,L 3 M 4,1 584.63,1 585.411

Kr,L 3 M 5,1 585.88,1 585.411

Kr,L 3 N 1,1 653.2,1 650.9

Kr,L 3 N 2,1 665.43,

Kr,L 3 N 3,1 666.09,

Kr,L 3 edge,1 680.06,1 677.25

Rb,KL 1,13 135.18,

Rb,KL 2,13 335.75,13 335.88

Rb,KL 3,13 395.05,13 395.49

Rb,KM 1,14 878.6,

Rb,KM 2,14 952.7,14 951.86

Rb,KM 3,14 961.6,14 961.42

Rb,KM 4,15 088.21,15 084.8

Rb,KM 5,15 089.65,15 084.8

Rb,KN 1,15 166.8,

Rb,KN 2,15 185.59,15 185.54

Rb,KN 3,15 186.55,15 185.54

Rb,KN 4,15 205.1,1

